,np_call,np_args,total_np_calls,num_statsmodels_funs_used_by
0,random.normal,size,571,271
1,zeros,dtype,124,82
2,random.uniform,size,81,59
3,concatenate,axis,68,48
4,random.randint,size,70,47
5,array,ndmin,43,41
6,array,dtype,56,37
7,all,,51,36
8,sum,axis,49,32
9,zeros,index,33,26
10,asarray,dtype,44,25
11,arange,dtype,29,24
12,flatnonzero,,28,22
13,any,,25,22
14,mean,axis,24,20
15,ones,dtype,20,20
16,array,copy,37,18
17,zeros,order,27,17
18,dot,size,19,17
19,unique,return_inverse,18,17
20,where,,22,16
21,zeros,columns,22,16
22,sqrt,size,17,14
23,diff,axis,14,13
24,require,requirements,29,12
25,allclose,atol,22,11
26,bincount,weights,18,11
27,nonzero,,12,11
28,sort,axis,12,11
29,linalg.lstsq,rcond,12,10
30,std,axis,10,10
31,cumsum,axis,14,9
32,kron,size,10,9
33,random.normal,scale,15,8
34,zeros,shape,13,8
35,random.binomial,size,12,8
36,shape,,10,8
37,cov,rowvar,9,8
38,random.poisson,size,9,8
39,repeat,axis,9,8
40,median,axis,8,8
41,empty,dtype,9,7
42,searchsorted,side,8,7
43,any,axis,7,7
44,allclose,rtol,15,6
45,arange,order,10,6
46,log,size,10,6
47,sum,,10,6
48,zeros,atol,9,6
49,isnan,axis,8,6
50,var,ddof,8,6
51,array,order,7,6
52,std,ddof,7,6
53,triu_indices,k,7,6
54,copy,order,6,6
55,log,loc,6,6
56,log,scale,6,6
57,bincount,minlength,12,5
58,asarray,,8,5
59,prod,axis,8,5
60,size,,8,5
61,array,,7,5
62,sqrt,rtol,7,5
63,errstate,invalid,6,5
64,zeros_like,dtype,6,5
65,abs,,5,5
66,all,axis,5,5
67,linalg.svd,full_matrices,5,5
68,zeros,repetitions,8,4
69,diag_indices,dtype,6,4
70,eye,dtype,6,4
71,logical_and,,6,4
72,product,axis,6,4
73,random.uniform,high,6,4
74,random.uniform,low,6,4
75,array,index,5,4
76,array,labels,5,4
77,asarray,order,5,4
78,ascontiguousarray,dtype,5,4
79,cov,bias,4,4
80,diag,atol,4,4
81,genfromtxt,delimiter,4,4
82,linspace,endpoint,4,4
83,max,axis,4,4
84,nanmean,axis,4,4
85,random.beta,size,4,4
86,sqrt,axis,4,4
87,squeeze,axis,4,4
88,random.normal,loc,10,3
89,maximum,decimal,9,3
90,array,cop_args,7,3
91,asfortranarray,dtype,7,3
92,eye,scalar,7,3
93,sqrt,atol,7,3
94,squeeze,rtol,7,3
95,diff,,6,3
96,exp,which,6,3
97,array,atol,4,3
98,cov,ddof,4,3
99,log,rtol,4,3
100,ones,index,4,3
101,random.normal,order,4,3
102,size,axis,4,3
103,unique,return_index,4,3
104,arange,step,3,3
105,array,axis,3,3
106,asarray,alpha,3,3
107,asarray,lags,3,3
108,diag,axis,3,3
109,diag,rtol,3,3
110,empty,shape,3,3
111,eye,k,3,3
112,inner,atol,3,3
113,ix_,,3,3
114,kron,dtype,3,3
115,linspace,num,3,3
116,min,axis,3,3
117,ones,shape,3,3
118,percentile,axis,3,3
119,random.gamma,size,3,3
120,var,axis,3,3
121,random.randint,high,7,2
122,testing.assert_,,7,2
123,eye,atol,6,2
124,eye,use_f,5,2
125,argmin,axis,4,2
126,random.multivariate_normal,size,4,2
127,sin,size,4,2
128,arange,index,3,2
129,argsort,axis,3,2
130,array,args,3,2
131,asarray,atol,3,2
132,diff,prepend,3,2
133,exp,size,3,2
134,hstack,cov_type,3,2
135,ones,atol,3,2
136,ones,disp,3,2
137,ravel,order,3,2
138,take,axis,3,2
139,zeros,size,3,2
140,abs,period,2,2
141,absolute,out,2,2
142,append,axis,2,2
143,arange,,2,2
144,asarray,trend,2,2
145,atleast_1d,dtype,2,2
146,average,weights,2,2
147,corrcoef,rowvar,2,2
148,cumsum,size,2,2
149,dot,lower,2,2
150,empty_like,dtype,2,2
151,genfromtxt,names,2,2
152,genfromtxt,skip_header,2,2
153,histogramdd,bins,2,2
154,isfinite,end,2,2
155,isfinite,start,2,2
156,linalg.qr,mode,2,2
157,loadtxt,delimiter,2,2
158,log,axis,2,2
159,log,model_order,2,2
160,negative,out,2,2
161,ones,axis,2,2
162,ones,family,2,2
163,ones,pen_weight,2,2
164,ones_like,dtype,2,2
165,ones_like,lint,2,2
166,ones_like,lrealgdp,2,2
167,ptp,axis,2,2
168,random.choice,size,2,2
169,random.exponential,size,2,2
170,random.randn,index,2,2
171,sort,dtype,2,2
172,sum,rtol,2,2
173,unique,return_counts,2,2
174,zeros,rtol,2,2
175,column_stack,axis,13,1
176,column_stack,lambd,12,1
177,arange,wt,6,1
178,random.randint,low,6,1
179,empty,b,5,1
180,random.random,columns,5,1
181,empty,loc,4,1
182,empty,scale,4,1
183,eye,rtol,4,1
184,logical_or,,4,1
185,ones,order,4,1
186,reshape,order,4,1
187,round,is_sorted,4,1
188,testing.assert_allclose,rtol,4,1
189,asarray,prepend,3,1
190,delete,axis,3,1
191,empty,a,3,1
192,eye,alpha,3,1
193,ones,offset,3,1
194,outer,size,3,1
195,random.random,name,3,1
196,set_printoptions,linewidth,3,1
197,set_printoptions,precision,3,1
198,abs,alpha,2,1
199,allclose,,2,1
200,allclose,axis,2,1
201,arange,atol,2,1
202,arange,trend,2,1
203,array,rtol,2,1
204,asarray,ddof,2,1
205,column_stack,rtol,2,1
206,column_stack,size,2,1
207,corrcoef,order,2,1
208,cumsum,label,2,1
209,diag,k,2,1
210,dot,,2,1
211,expand_dims,axis,2,1
212,eye,cov_p,2,1
213,linalg.matrix_rank,tol,2,1
214,log,decimal,2,1
215,nanmax,axis,2,1
216,nonzero,axis,2,1
217,ones,seasonal_order,2,1
218,ones,trend,2,1
219,ptp,,2,1
220,roll,axis,2,1
221,sort,loc,2,1
222,sort,method,2,1
223,sort,scale,2,1
224,sort,size,2,1
225,sqrt,decimal,2,1
226,sqrt,has_optimal_weights,2,1
227,abs,method,1,1
228,abs,size,1,1
229,add.reduceat,axis,1,1
230,apply_along_axis,arr,1,1
231,apply_along_axis,axis,1,1
232,apply_along_axis,c,1,1
233,arange,average,1,1
234,arange,name,1,1
235,arange,which,1,1
236,arctan,size,1,1
237,argsort,kind,1,1
238,array,conditional,1,1
239,array,correction,1,1
240,array,ddof,1,1
241,array,excess,1,1
242,array,group_order,1,1
243,array,lb,1,1
244,array,method,1,1
245,array,missing,1,1
246,array,ret_params,1,1
247,array_split,axis,1,1
248,asanyarray,order,1,1
249,asarray,ax,1,1
250,asarray,color,1,1
251,asarray,data,1,1
252,asarray,deterministic,1,1
253,asarray,df,1,1
254,asarray,header,1,1
255,asarray,shift_zeros,1,1
256,asarray,transform,1,1
257,asarray,which,1,1
258,atleast_1d,rtol,1,1
259,atleast_2d,alpha,1,1
260,atleast_2d,axis,1,1
261,bincount,dtype,1,1
262,bincount,size,1,1
263,ceil,size,1,1
264,clip,out,1,1
265,column_stack,prepend,1,1
266,concatenate,size,1,1
267,correlate,mode,1,1
268,cov,decimal,1,1
269,cov,order,1,1
270,cumsum,rtol,1,1
271,dot,prepend,1,1
272,dot,rcond,1,1
273,dot,scale,1,1
274,empty,dist,1,1
275,empty,index,1,1
276,errstate,divide,1,1
277,exp,axis,1,1
278,exp,cop_args,1,1
279,exp,marg_args,1,1
280,exp,rtol,1,1
281,exp,y,1,1
282,expand_dims,ddof,1,1
283,eye,axis,1,1
284,eye,simult,1,1
285,fft.fft,n,1,1
286,floor,step,1,1
287,genfromtxt,dtype,1,1
288,histogram,bins,1,1
289,histogram2d,bins,1,1
290,histogramdd,density,1,1
291,hstack,exog_extra,1,1
292,hstack,rtol,1,1
293,isfinite,,1,1
294,isnan,msg,1,1
295,linalg.eigvals,,1,1
296,linalg.inv,cov_params,1,1
297,linalg.inv,observed,1,1
298,linalg.matrix_rank,,1,1
299,linalg.matrix_rank,hermitian,1,1
300,linalg.pinv,approx,1,1
301,linspace,dtype,1,1
302,loadtxt,skiprows,1,1
303,log,args,1,1
304,log,data,1,1
305,log,disp,1,1
306,log,exposure,1,1
307,log,islog,1,1
308,logical_and,axis,1,1
309,ma.allclose,atol,1,1
310,max,,1,1
311,maximum,atol,1,1
312,mean,,1,1
313,median,correction,1,1
314,min,,1,1
315,multiply,out,1,1
316,nanpercentile,axis,1,1
317,nansum,axis,1,1
318,ndim,,1,1
319,ones,,1,1
320,ones,alpha,1,1
321,ones,ax,1,1
322,ones,damped_trend,1,1
323,ones,decimal,1,1
324,ones,fillvalue,1,1
325,ones,freq,1,1
326,ones,method,1,1
327,ones,name,1,1
328,ones,nlags,1,1
329,ones,periods,1,1
330,ones,rtol,1,1
331,ones,size,1,1
332,ones,smoother,1,1
333,ones,tol,1,1
334,ones,weights,1,1
335,partition,kth,1,1
336,power,axis,1,1
337,prod,atol,1,1
338,quantile,axis,1,1
339,random.RandomState,seed,1,1
340,random.choice,replace,1,1
341,random.multivariate_normal,cov,1,1
342,random.multivariate_normal,mean,1,1
343,random.normal,index,1,1
344,random.normal,trend,1,1
345,random.randn,name,1,1
346,random.standard_normal,index,1,1
347,ravel,disp,1,1
348,real_if_close,tol,1,1
349,repeat,dtype,1,1
350,repeat,usevar,1,1
351,reshape,axis,1,1
352,set_printoptions,suppress,1,1
353,sqrt,cov_p,1,1
354,sqrt,ddof,1,1
355,sqrt,r_matrix,1,1
356,sqrt,which,1,1
357,square,axis,1,1
358,squeeze,maxlag,1,1
359,sum,atol,1,1
360,sum,size,1,1
361,testing.assert_allclose,atol,1,1
362,testing.assert_equal,err_msg,1,1
363,tile,dtype,1,1
364,unique,,1,1
365,unique,size,1,1
366,vander,N,1,1
367,var,atol,1,1
368,var,rtol,1,1
369,where,axis,1,1
370,zeros,allow_infnan,1,1
371,zeros,exog,1,1
372,zeros,trend,1,1
